artist,poem name,text,syllables
Sylvia Plath,Amnesiac,"O sister, mother, wife",6
Sylvia Plath,Amnesiac,Sweet Lethe is my life,6
Sylvia Plath,April Aubade,Worship this world of watercolor mood,10
Sylvia Plath,April Aubade,in glass pagodas hung with veils of green,10
Sylvia Plath,April Aubade,where diamonds jangle hymns within the blood,10
Sylvia Plath,April Aubade,and sap ascends the steeple of the vein,10
Sylvia Plath,April Aubade,A saintly sparrow jargons madrigals,10
Sylvia Plath,April Aubade,to waken dreamers in the milky dawn,10
Sylvia Plath,April Aubade,while tulips bow like a college of cardinals,12
Sylvia Plath,April Aubade,"before that papal paragon, the sun",10
Sylvia Plath,April Aubade,Christened in a spindrift of snowdrop stars,10
Sylvia Plath,April Aubade,where on pink-fluted feet the pigeons pass,10
Sylvia Plath,April Aubade,and jonquils sprout like solomon's metaphors,11
Sylvia Plath,April Aubade,my love and I go garlanded with grass,10
Sylvia Plath,April Aubade,Again we are deluded and infer,10
Sylvia Plath,Aquatic Nocturne,deep in liquid,4
Sylvia Plath,Aquatic Nocturne,turquoise slivers,4
Sylvia Plath,Aquatic Nocturne,of dilute light,4
Sylvia Plath,Aquatic Nocturne,quiver in thin streaks,5
Sylvia Plath,Aquatic Nocturne,of bright tinfoil,4
Sylvia Plath,Aquatic Nocturne,on mobile jet,4
Sylvia Plath,Aquatic Nocturne,pale flounder,3
Sylvia Plath,Aquatic Nocturne,waver by,3
Sylvia Plath,Aquatic Nocturne,tilting silver,4
Sylvia Plath,Aquatic Nocturne,in the shallows,4
Sylvia Plath,Aquatic Nocturne,agile minnows,4
Sylvia Plath,Aquatic Nocturne,flicker gilt,3
Sylvia Plath,Aquatic Nocturne,grapeblue mussels,5
Sylvia Plath,Aquatic Nocturne,dilate lithe and,4
Sylvia Plath,Aquatic Nocturne,pliant valves,3
Sylvia Plath,Aquatic Nocturne,dull lunar globes,4
Sylvia Plath,Aquatic Nocturne,of blubous jellyfish,6
Sylvia Plath,Aquatic Nocturne,glow milkgreen,3
Sylvia Plath,Aquatic Nocturne,eels twirl,2
Sylvia Plath,Aquatic Nocturne,in wily spirals,5
Sylvia Plath,Aquatic Nocturne,on elusive tails,5
Sylvia Plath,Aquatic Nocturne,adroir lobsters,4
Sylvia Plath,Aquatic Nocturne,amble darkly olive,6
Sylvia Plath,Aquatic Nocturne,on shrewd claws,3
Sylvia Plath,Aquatic Nocturne,down where sound,3
Sylvia Plath,Aquatic Nocturne,comes blunt and wan,4
Sylvia Plath,Aquatic Nocturne,like the bronze tone,4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,It beguiles—,3
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,This little Odyssey,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,In pink and lavender,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Over a surface of gently-,8
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Graded turquoise tiles,5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,That represent a sea,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,With chequered waves and gaily,8
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Bear up the seafarer,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"Gaily, gaily",4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,In his pink plume and armor,7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,A lantern-frail,4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Gondola of paper,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Ferries the fishpond Sindbad,7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Who poises his pastel spear,7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Toward three pinky-purple,7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Monsters which uprear,5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Off the ocean-floor,5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,With fanged and dreadful head,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"Beware, beware",4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"The whale, the shark, the squid",6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,But fins and scales,4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Of each scrolled sea-beast,5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"Troll no slime, no weed",5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,They are polished for the joust,7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,They gleam like easter eggshells,7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Rose and amethyst,5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"Ahab, fulfill your boast",6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Bring home each storied head,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"One thrust, one thrust",4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,One thrust: and they are sped,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,So fables go,4
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,And so all children sing,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Their bathtub battles deep,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,Hazardous and long,5
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"But oh, sage grownups know",6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"Sea-dragon for sofa, fang",7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"For pasteboard, and siren-song",7
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,For fever in a sleep,6
Sylvia Plath,Battle-Scene From The Comic Operatic Fantasy The Seafarer,"Laughing, laughing",4
Sylvia Plath,Black Pine Tree In An Orange Light,Tell me what you see in it ,7
Sylvia Plath,Black Pine Tree In An Orange Light,The pine tree like a Rorschach-blot,8
Sylvia Plath,Black Pine Tree In An Orange Light,black against the orange light ,7
Sylvia Plath,Black Pine Tree In An Orange Light,Plant an orange pumpkin patch,7
Sylvia Plath,Black Pine Tree In An Orange Light,which at twelve will quaintly hatch,7
Sylvia Plath,Black Pine Tree In An Orange Light,nine black mice with ebon coach,7
Sylvia Plath,Black Pine Tree In An Orange Light,or walk into the orange and make,9
Sylvia Plath,Black Pine Tree In An Orange Light,a devil's cataract of black,8
Sylvia Plath,Black Pine Tree In An Orange Light,obscure god's eye with corkscrew fleck;,8
Sylvia Plath,Black Pine Tree In An Orange Light,put orange mistress half in sun,8
Sylvia Plath,Black Pine Tree In An Orange Light,"half in shade, until her skin",7
Sylvia Plath,Black Pine Tree In An Orange Light,tattoos black leaves on tangerine,8
Sylvia Plath,Black Pine Tree In An Orange Light,Read black magic or holy book,8
Sylvia Plath,Black Pine Tree In An Orange Light,or lyric of love in the orange and black,11
Sylvia Plath,Black Pine Tree In An Orange Light,till dark is conquered by orange cock,9
Sylvia Plath,Black Pine Tree In An Orange Light,but more pragmatic than all this,8
Sylvia Plath,Black Pine Tree In An Orange Light,say how crafty the painter was,8
Sylvia Plath,Blue Moles,1,1
Sylvia Plath,Blue Moles,"They're out of the dark's ragbag, these two",9
Sylvia Plath,Blue Moles,Moles dead in the pebbled rut,7
Sylvia Plath,Blue Moles,"Shapeless as flung gloves, a few feet apart —-",10
Sylvia Plath,Blue Moles,Blue suede a dog or fox has chewed,8
Sylvia Plath,Blue Moles,"One, by himself, seemed pitiable enough",11
Sylvia Plath,Blue Moles,Little victim unearthed by some large creature,11
Sylvia Plath,Blue Moles,From his orbit under the elm root,9
Sylvia Plath,Blue Moles,The second carcass makes a duel of the affair,13
Sylvia Plath,Blue Moles,Blind twins bitten by bad nature,8
Sylvia Plath,Blue Moles,The sky's far dome is sane a clear,8
Sylvia Plath,Blue Moles,"Leaves, undoing their yellow caves",8
Sylvia Plath,Blue Moles,Between the road and the lake water,9
Sylvia Plath,Blue Moles,Bare no sinister spaces. Already,10
Sylvia Plath,Blue Moles,The moles look neutral as the stones,8
Sylvia Plath,Blue Moles,"Their corkscrew noses, their white hands",8
Sylvia Plath,Blue Moles,"Uplifted, stiffen in a family pose",11
Sylvia Plath,Blue Moles,Difficult to imagine how fury struck —-,11
Sylvia Plath,Blue Moles,"Dissolved now, smoke of an old war",8
Sylvia Plath,Blue Moles,2,1
Sylvia Plath,Blue Moles,Nightly the battle-snouts start up,8
Sylvia Plath,Blue Moles,"In the ear of the veteran, and again",11
Sylvia Plath,Blue Moles,I enter the soft pelt of the mole,9
Sylvia Plath,Blue Moles,Light's death to them: they shrivel in it,9
Sylvia Plath,Blue Moles,They move through their mute rooms while I sleep,9
Sylvia Plath,Blue Moles,"Palming the earth aside, grubbers",8
Sylvia Plath,Blue Moles,After the fat children of root and rock,10
Sylvia Plath,Blue Moles,"By day, only the topsoil heaves",8
Sylvia Plath,Blue Moles,Down there one is alone,6
Sylvia Plath,Blue Moles,Outsize hands prepare a path,7
Sylvia Plath,Blue Moles,They go before: opening the veins,9
Sylvia Plath,Blue Moles,Delving for the appendages,8
Sylvia Plath,Blue Moles,"Of beetles, sweetbreads, shards — to be eaten",10
Sylvia Plath,Blue Moles,Over and over. And still the heaven,10
Sylvia Plath,Blue Moles,Of final surfeit is just as far,9
Sylvia Plath,Blue Moles,From the door as ever. What happens between us,12
Sylvia Plath,Blue Moles,"Happens in darkness, vanishes",8
Sylvia Plath,Brasilia,Will they occur,4
Sylvia Plath,Brasilia,These people with torso of steel,8
Sylvia Plath,Brasilia,Winged elbows and eyeholes,7
Sylvia Plath,Brasilia,Awaiting masses,5
Sylvia Plath,Brasilia,Of cloud to give them expression,8
Sylvia Plath,Brasilia,These super-people -,5
Sylvia Plath,Brasilia,And my baby a nail,6
Sylvia Plath,Brasilia,"Driven, driven in",5
Sylvia Plath,Brasilia,He shrieks in his grease,5
Sylvia Plath,Brasilia,Bones nosing for distance,6
Sylvia Plath,Brasilia,"And I, nearly extinct",6
Sylvia Plath,Brasilia,His three teeth cutting,5
Sylvia Plath,Brasilia,Themselves on my thumb -,5
Sylvia Plath,Brasilia,And the star,3
Sylvia Plath,Brasilia,The old story,4
Sylvia Plath,Brasilia,In the lane I meet sheep and wagons,9
Sylvia Plath,Brasilia,"Red earth, motherly blood",6
Sylvia Plath,Brasilia,O You who eat,4
Sylvia Plath,Brasilia,"People like light rays, leave",6
Sylvia Plath,Brasilia,This one,2
Sylvia Plath,Brasilia,"Mirror safe, unredeemed",6
Sylvia Plath,Brasilia,By the dove's annihilation,8
Sylvia Plath,Brasilia,The glory,3
Sylvia Plath,Burning The Letters,I made a fire; being tired,7
Sylvia Plath,Burning The Letters,Of the white fists of old,6
Sylvia Plath,Burning The Letters,Letters and their death rattle,7
Sylvia Plath,Burning The Letters,When I came too close to the wastebasket,10
Sylvia Plath,Burning The Letters,What did they know that I didn't?,7
Sylvia Plath,Burning The Letters,"Grain by grain, they unrolled",6
Sylvia Plath,Burning The Letters,Sands where a dream of clear water,8
Sylvia Plath,Burning The Letters,Grinned like a getaway car,7
Sylvia Plath,Burning The Letters,I am not subtle,5
Sylvia Plath,Burning The Letters,"Love, love, and well, I was tired",7
Sylvia Plath,Burning The Letters,Of cardboard cartons the color of cement or a dog pack,15
Sylvia Plath,Burning The Letters,Holding in it's hate,5
Sylvia Plath,Burning The Letters,"Dully, under a pack of men in red jackets",12
Sylvia Plath,Burning The Letters,And the eyes and times of the postmarks,9
Sylvia Plath,Burning The Letters,"This fire may lick and fawn, but it is merciless",12
Sylvia Plath,Burning The Letters,A glass case,3
Sylvia Plath,Burning The Letters,My fingers would enter although,8
Sylvia Plath,Burning The Letters,"They melt and sag, they are told",7
Sylvia Plath,Burning The Letters,Do not touch,3
Sylvia Plath,Burning The Letters,And here is an end to the writing,9
Sylvia Plath,Burning The Letters,"The spry hooks that bend and cringe and the smiles, the smiles",12
Sylvia Plath,Burning The Letters,"And at least it will be a good place now, the attic",13
Sylvia Plath,Burning The Letters,At least I won't be strung just under the surface,12
Sylvia Plath,Burning The Letters,Dumb fish,2
Sylvia Plath,Burning The Letters,With one tin eye,4
Sylvia Plath,Burning The Letters,Watching for glints,4
Sylvia Plath,Burning The Letters,Riding my Arctic,5
Sylvia Plath,Burning The Letters,Between this wish and that wish,7
Sylvia Plath,Burning The Letters,"So, I poke at the carbon birds in my housedress",12
Sylvia Plath,Burning The Letters,They are more beautiful than my bodiless owl,12
Sylvia Plath,Burning The Letters,They console me—,4
Sylvia Plath,Burning The Letters,"Rising and flying, but blinded",8
Sylvia Plath,Burning The Letters,"They would flutter off, black and glittering, they would be coal angels",16
Sylvia Plath,Burning The Letters,Only they have nothing to say but anybody,13
Sylvia Plath,Burning The Letters,I have seen to that,5
Sylvia Plath,Burning The Letters,With the butt of a rake,6
Sylvia Plath,Burning The Letters,I flake up papers that breathe like people,10
Sylvia Plath,Burning The Letters,I fan them out,4
Sylvia Plath,Burning The Letters,Between the yellow lettuces and the German cabbage,14
Sylvia Plath,Burning The Letters,Involved in it's weird blue dreams,7
Sylvia Plath,Burning The Letters,Involved in a foetus,6
Sylvia Plath,Burning The Letters,And a name with black edges,7
Sylvia Plath,Burning The Letters,Wilts at my foot,4
Sylvia Plath,Burning The Letters,Sinuous orchis,5
Sylvia Plath,Burning The Letters,In a nest of root-hairs and boredom—,9
Sylvia Plath,Burning The Letters,"Pale eyes, patent-leather gutturals",9
Sylvia Plath,Burning The Letters,"Warm rain greases my hair, extinguishes nothing",12
Sylvia Plath,Burning The Letters,My veins glow like trees,5
Sylvia Plath,Burning The Letters,The dogs are tearing a fox. This is what it is like,13
Sylvia Plath,Burning The Letters,A read burst and a cry,6
Sylvia Plath,Burning The Letters,That splits from it's ripped bag and does not stop,10
Sylvia Plath,Burning The Letters,With that dead eye,4
Sylvia Plath,Burning The Letters,"And the stuffed expression, but goes on",9
Sylvia Plath,Burning The Letters,Dyeing the air,4
Sylvia Plath,Burning The Letters,"Telling the particles of the clouds, the leaves, the water",14
Sylvia Plath,Candles,"They are the last romantics, these candles",10
Sylvia Plath,Candles,Upside-down hearts of light tipping wax fingers,11
Sylvia Plath,Candles,"And the fingers, taken in by their own haloes",12
Sylvia Plath,Candles,"Grown milky, almost clear, like the bodies of saints",12
Sylvia Plath,Candles,"It is touching, the way they'll ignore",9
Sylvia Plath,Candles,A whole family of prominent objects,11
Sylvia Plath,Candles,Simply to plumb the deeps of an eye,9
Sylvia Plath,Candles,"In its hollow of shadows, its fringe of reeds",12
Sylvia Plath,Candles,"And the owner past thirty, no beauty at all",12
Sylvia Plath,Candles,Daylight would be more judicious,8
Sylvia Plath,Candles,Giving everybody a fair hearing,10
Sylvia Plath,Candles,They should have gone out with the balloon flights and the stereopticon,17
Sylvia Plath,Candles,This is no time for the private point of view,11
Sylvia Plath,Candles,"When I light them, my nostrils prickle",9
Sylvia Plath,Candles,"Their pale, tentative yellows",7
Sylvia Plath,Candles,"Drag up false, Edwardian sentiments",10
Sylvia Plath,Candles,And I remember my maternal grandmother from Vienna,16
Sylvia Plath,Candles,As a schoolgirl she gave roses to Franz Josef,12
Sylvia Plath,Candles,The burghers sweated and wept. The children wore white,12
Sylvia Plath,Candles,And my grandfather moped in the Tyrol,11
Sylvia Plath,Candles,Imagining himself a headwaiter in America,15
Sylvia Plath,Candles,Floating in a high-church hush,7
Sylvia Plath,Candles,"Among ice buckets, frosty napkins",9
Sylvia Plath,Candles,These little globes of light are sweet as pears,10
Sylvia Plath,Candles,Kindly with invalids and mawkish women,11
Sylvia Plath,Candles,They mollify the bald moon,7
Sylvia Plath,Candles,"Nun-souled, they burn heavenward and never marry",12
Sylvia Plath,Candles,The eyes of the child I nurse are scarcely open,12
Sylvia Plath,Candles,In twenty years I shall be retrograde,10
Sylvia Plath,Candles,As these drafty ephemerids,8
Sylvia Plath,Candles,I watch their spilt tears cloud and dull to pearls,10
Sylvia Plath,Candles,How shall I tell anything at all,9
Sylvia Plath,Candles,To this infant still in a birth-drowse?,9
Sylvia Plath,Candles,"Tonight, like a shawl, the mild light enfolds her",11
Sylvia Plath,Channel Crossing,"On storm-struck deck, wind sirens caterwaul;",10
Sylvia Plath,Channel Crossing,"With each tilt, shock and shudder, our blunt ship",10
Sylvia Plath,Channel Crossing,Cleaves forward into fury; dark as anger,11
Sylvia Plath,Channel Crossing,"Waves wallop, assaulting the stubborn hull",10
Sylvia Plath,Channel Crossing,"Flayed by spray, we take the challenge up",9
Sylvia Plath,Channel Crossing,"Grip the rail, squint ahead, and wonder how much longer",13
Sylvia Plath,Channel Crossing,"Such force can last; but beyond, the neutral view",11
Sylvia Plath,Channel Crossing,"Shows, rank on rank, the hungry seas advancing",11
Sylvia Plath,Channel Crossing,"Below, rocked havoc-sick, voyagers lie",10
Sylvia Plath,Channel Crossing,Retching in bright orange basins; a refugee,12
Sylvia Plath,Channel Crossing,"Sprawls, hunched in black, among baggage, wincing",10
Sylvia Plath,Channel Crossing,Under the strict mask of his agony,10
Sylvia Plath,Channel Crossing,Far from the sweet stench of that perilous air,11
Sylvia Plath,Channel Crossing,"In which our comrades are betrayed, we freeze",10
Sylvia Plath,Channel Crossing,And marvel at the smashing nonchalance,10
Sylvia Plath,Channel Crossing,Of nature : what better way to test taut fiber,12
Sylvia Plath,Channel Crossing,"Than against this onslaught, these casual blasts of ice",13
Sylvia Plath,Channel Crossing,That wrestle with us like angels; the mere chance,11
Sylvia Plath,Channel Crossing,Of making harbor through this racketing flux,11
Sylvia Plath,Channel Crossing,Taunts us to valor. Blue sailors sang that our journey,13
Sylvia Plath,Channel Crossing,"Would be full of sun, white gulls, and water drenched",11
Sylvia Plath,Channel Crossing,"With radiance, peacock-colored; instead, bleak rocks",12
Sylvia Plath,Channel Crossing,"Jutted early to mark our going, while sky",11
Sylvia Plath,Channel Crossing,Curded over with clouds and chalk cliffs blanched,10
Sylvia Plath,Channel Crossing,In sullen light of the inauspicious day,11
Sylvia Plath,Channel Crossing,"Now, free, by hazard's quirk, from the common ill",11
Sylvia Plath,Channel Crossing,"Knocking our brothers down, we strike a stance",10
Sylvia Plath,Channel Crossing,"Most mock-heroic, to cloak our waking awe",11
Sylvia Plath,Channel Crossing,At this rare rumpus which no man can control ,11
Sylvia Plath,Channel Crossing,Meek and proud both fall; stark violence,9
Sylvia Plath,Channel Crossing,Lays all walls waste; private estates are torn,10
Sylvia Plath,Channel Crossing,Ransacked in the public eye. We forsake,10
Sylvia Plath,Channel Crossing,"Our lone luck now, compelled by bond, by blood",10
Sylvia Plath,Channel Crossing,To keep some unsaid pact; perhaps concern,10
Sylvia Plath,Channel Crossing,"Is helpless here, quite extra, yet we must make",11
Sylvia Plath,Channel Crossing,"The gesture, bend and hold the prone man's head",10
Sylvia Plath,Channel Crossing,"And so we sail toward cities, streets and homes",11
Sylvia Plath,Channel Crossing,"Of other men, where statues celebrate",10
